Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
1,RELIANCE,RELIANCE INDUSTRIES LIMITED,"19,04,19,300.15"
2,TCS,TATA CONSULTANCY SERVICES LIMITED,"15,40,67,468.10"
3,HDFCBANK,HDFC BANK LIMITED,"12,99,10,519.52"
4,BHARTIARTL,BHARTI AIRTEL LIMITED,"8,95,60,770.04"
5,ICICIBANK,ICICI BANK LIMITED,"8,84,12,395.68"
6,INFY,INFOSYS LIMITED,"7,72,67,704.01"
7,SBIN,STATE BANK OF INDIA,"7,34,99,068.88"
8,LICI,LIFE INSURANCE CORPORATION OF INDIA,"6,32,60,318.16"
9,HINDUNILVR,HINDUSTAN UNILEVER LIMITED,"6,22,43,488.10"
10,ITC,ITC LIMITED,"6,06,83,961.17"
11,LT,LARSEN & TOUBRO LIMITED,"4,99,72,065.76"
12,HCLTECH,HCL TECHNOLOGIES LIMITED,"4,78,22,553.68"
13,BAJFINANCE,BAJAJ FINANCE LIMITED,"4,32,37,001.19"
14,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"4,28,20,902.41"
15,NTPC,NTPC LIMITED,"3,81,08,013.35"
16,MARUTI,MARUTI SUZUKI INDIA LIMITED,"3,76,55,401.55"
17,AXISBANK,AXIS BANK LIMITED,"3,65,27,182.28"
18,ONGC,OIL & NATURAL GAS CORPORATION LIMITED,"3,61,97,856.69"
19,M&M,MAHINDRA & MAHINDRA LIMITED,"3,59,82,814.02"
20,KOTAKBANK,KOTAK MAHINDRA BANK LIMITED,"3,56,86,960.77"
21,TATAMOTORS,TATA MOTORS LIMITED,"3,31,16,434.51"
22,ADANIENT,ADANI ENTERPRISES LIMITED,"3,30,49,546.42"
23,ULTRACEMCO,ULTRATECH CEMENT LIMITED,"3,30,46,925.91"
24,POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED,"3,09,53,479.50"
25,HAL,HINDUSTAN AERONAUTICS LIMITED,"3,07,84,739.99"
26,TITAN,TITAN COMPANY LIMITED,"3,04,65,252.31"
27,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"3,01,09,799.35"
28,DMART,AVENUE SUPERMARTS LIMITED,"2,92,23,180.01"
29,COALINDIA,COAL INDIA LIMITED,"2,90,59,318.49"
30,WIPRO,WIPRO LIMITED,"2,87,02,054.22"
31,BAJAJ-AUTO,BAJAJ AUTO LIMITED,"2,82,53,270.99"
32,ASIANPAINT,ASIAN PAINTS LIMITED,"2,77,87,872.19"
33,BAJAJFINSV,BAJAJ FINSERV LIMITED,"2,71,57,980.77"
34,ADANIGREEN,ADANI GREEN ENERGY LIMITED,"2,59,73,908.72"
35,SIEMENS,SIEMENS LIMITED,"2,54,99,047.65"
36,ADANIPOWER,ADANI POWER LIMITED,"2,40,81,854.65"
37,TRENT,TRENT LIMITED,"2,40,30,369.43"
38,NESTLEIND,NESTLE INDIA LIMITED,"2,34,26,814.86"
39,JSWSTEEL,JSW STEEL LIMITED,"2,33,03,254.91"
40,ZOMATO,ZOMATO LIMITED,"2,30,06,209.11"
41,HINDZINC,HINDUSTAN ZINC LIMITED,"2,27,16,421.53"
42,IOC,INDIAN OIL CORPORATION LIMITED,"2,25,21,480.87"
43,BEL,BHARAT ELECTRONICS LIMITED,"2,17,36,729.46"
44,IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"2,16,22,351.19"
45,JIOFIN,JIO FINANCIAL SERVICES LIMITED,"2,11,22,826.09"
46,DLF,DLF LIMITED,"2,08,00,907.33"
47,VBL,VARUN BEVERAGES LIMITED,"2,00,95,320.21"
48,TATASTEEL,TATA STEEL LIMITED,"1,91,78,680.89"
49,VEDL,VEDANTA LIMITED,"1,79,49,759.46"
50,LTIM,LTIMINDTREE LIMITED,"1,76,66,529.12"
51,GRASIM,GRASIM INDUSTRIES LIMITED,"1,76,28,670.43"
52,INDIGO,INTERGLOBE AVIATION LIMITED,"1,72,15,019.34"
53,SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED,"1,65,57,204.64"
54,PFC,POWER FINANCE CORPORATION LIMITED,"1,64,12,990.94"
55,ABB,ABB INDIA LIMITED,"1,63,87,073.94"
56,TECHM,TECH MAHINDRA LIMITED,"1,59,43,006.93"
57,PIDILITIND,PIDILITE INDUSTRIES LIMITED,"1,59,36,007.44"
58,HINDALCO,HINDALCO INDUSTRIES LIMITED,"1,52,09,848.60"
59,AMBUJACEM,AMBUJA CEMENTS LIMITED,"1,49,17,604.13"
60,HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,"1,48,17,313.08"
61,HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED,"1,47,79,614.38"
62,RECLTD,REC LIMITED,"1,47,64,748.12"
63,DIVISLAB,DIVI'S LABORATORIES LIMITED,"1,43,76,586.12"
64,GAIL,GAIL (INDIA) LIMITED,"1,42,79,347.08"
65,BPCL,BHARAT PETROLEUM CORPORATION LIMITED,"1,39,88,392.26"
66,TATAPOWER,TATA POWER COMPANY LIMITED,"1,38,29,112.34"
67,GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED,"1,36,69,844.47"
68,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,"1,34,83,584.74"
69,EICHERMOT,EICHER MOTORS LIMITED,"1,32,22,154.91"
70,MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,"1,28,98,906.20"
71,LODHA,MACROTECH DEVELOPERS LIMITED,"1,28,88,979.04"
72,BANKBARODA,BANK OF BARODA,"1,28,72,209.96"
73,CIPLA,CIPLA LIMITED,"1,25,20,665.95"
74,JSWENERGY,JSW ENERGY LIMITED,"1,22,66,165.14"
75,TVSMOTOR,TVS MOTOR COMPANY LIMITED,"1,22,47,625.33"
76,PNB,PUNJAB NATIONAL BANK,"1,20,71,602.27"
77,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,"1,16,73,114.74"
78,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"1,16,50,944.03"
79,BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED,"1,16,26,447.12"
80,SWIGGY,SWIGGY LIMITED,"1,14,94,775.20"
81,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED,"1,14,88,179.06"
82,NTPCGREEN,NTPC GREEN ENERGY LIMITED,"1,14,74,414.00"
83,HAVELLS,HAVELLS INDIA LIMITED,"1,13,99,672.82"
84,ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED,"1,12,81,218.05"
85,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,"1,12,53,283.20"
86,TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED,"1,11,20,181.28"
87,DRREDDY,DR. REDDY'S LABORATORIES LIMITED,"1,09,96,474.78"
88,IOB,INDIAN OVERSEAS BANK,"1,09,38,721.25"
89,ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED,"1,08,04,549.24"
90,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"1,07,25,571.91"
91,UNITDSPR,UNITED SPIRITS LIMITED,"1,06,90,715.72"
92,RVNL,RAIL VIKAS NIGAM LIMITED,"1,05,72,226.84"
93,HEROMOTOCO,HERO MOTOCORP LIMITED,"1,04,12,948.05"
94,DABUR,DABUR INDIA LIMITED,"1,03,88,030.53"
95,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"1,02,89,112.43"
96,BOSCHLTD,BOSCH LIMITED,"1,02,72,298.80"
97,POLYCAB,POLYCAB INDIA LIMITED,"1,02,62,842.11"
98,INDUSTOWER,INDUS TOWERS LIMITED,"1,02,60,230.35"
99,CUMMINSIND,CUMMINS INDIA LIMITED,"1,01,33,003.13"
100,NAUKRI,INFO EDGE (INDIA) LIMITED,"1,00,12,360.67"
101,INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED,"99,49,825.03"
102,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED,"98,95,040.54"
103,MANKIND,MANKIND PHARMA LIMITED,"98,82,806.66"
104,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"98,24,646.45"
105,INDUSINDBK,INDUSIND BANK LIMITED,"98,24,214.35"
106,ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"98,21,583.92"
107,JINDALSTEL,JINDAL STEEL & POWER LIMITED,"98,03,325.96"
108,SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED,"97,20,466.48"
109,CANBK,CANARA BANK,"96,98,073.98"
110,LUPIN,LUPIN LIMITED,"95,01,344.52"
111,MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,"94,53,100.79"
112,SUZLON,SUZLON ENERGY LIMITED,"94,12,964.54"
113,BHEL,BHARAT HEAVY ELECTRICALS LIMITED,"94,08,090.28"
114,UNIONBANK,UNION BANK OF INDIA,"94,07,334.43"
115,SHREECEM,SHREE CEMENT LIMITED,"93,48,822.08"
116,IDBI,IDBI BANK LIMITED,"93,45,706.35"
117,NHPC,NHPC LIMITED,"92,21,405.73"
118,HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED,"92,20,218.20"
119,MAZDOCK,MAZAGON DOCK SHIPBUILDERS LIMITED,"92,18,780.87"
120,OIL,OIL INDIA LIMITED,"89,68,263.34"
121,COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED,"87,99,122.70"
122,ATGL,ADANI TOTAL GAS LIMITED,"86,60,441.37"
123,DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED,"85,02,897.16"
124,MARICO,MARICO LIMITED,"84,66,356.43"
125,PERSISTENT,PERSISTENT SYSTEMS LIMITED,"83,44,973.36"
126,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED,"83,25,840.20"
127,WAAREEENER,WAAREE ENERGIES LIMITED,"83,08,177.79"
128,GODREJPROP,GODREJ PROPERTIES LIMITED,"82,78,235.54"
129,TORNTPOWER,TORRENT POWER LIMITED,"81,70,241.11"
130,GMRAIRPORT,GMR AIRPORTS LIMITED,"81,37,923.45"
131,AUROPHARMA,AUROBINDO PHARMA LIMITED,"81,34,533.48"
132,IDEA,VODAFONE IDEA LIMITED,"79,64,477.48"
133,POLICYBZR,PB FINTECH LIMITED,"78,40,215.80"
134,TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED,"77,69,434.18"
135,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"77,33,237.73"
136,INDIANB,INDIAN BANK,"74,13,171.24"
137,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED,"73,03,594.86"
138,IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"71,56,606.35"
139,SRF,SRF LIMITED,"70,58,844.36"
140,YESBANK,YES BANK LIMITED,"70,27,584.61"
141,GICRE,GENERAL INSURANCE CORPORATION OF INDIA,"69,89,021.40"
142,BHARATFORG,BHARAT FORGE LIMITED,"69,81,333.00"
143,OBEROIRLTY,OBEROI REALTY LIMITED,"69,19,620.40"
144,SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED,"68,90,984.13"
145,ASHOKLEY,ASHOK LEYLAND LIMITED,"68,51,485.95"
146,ALKEM,ALKEM LABORATORIES LIMITED,"68,30,033.45"
147,JSWINFRA,JSW INFRASTRUCTURE LIMITED,"67,60,213.42"
148,KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED,"67,43,976.13"
149,NMDC,NMDC LIMITED,"66,76,689.98"
150,BHARTIHEXA,BHARTI HEXACOM LIMITED,"65,47,539.68"
